date,weekday,dayofmonth,num_weekdayofmonth,,week_num,datestring
2020-04-13,Mon,13,6,2,Mon-2,2020-04-13
2020-04-14,Tue,14,7,2,Tue-2,2020-04-14
2020-04-15,Wed,15,1,3,Wed-3,2020-04-15
2020-04-16,Thu,16,2,3,Thu-3,2020-04-16
2020-04-17,Fri,17,3,3,Fri-3,2020-04-17
2020-04-18,Sat,18,4,3,Sat-3,2020-04-18
2020-04-19,Sun,19,5,3,Sun-3,2020-04-19
2020-04-20,Mon,20,6,3,Mon-3,2020-04-20
2020-04-21,Tue,21,7,3,Tue-3,2020-04-21
2020-04-22,Wed,22,1,4,Wed-4,2020-04-22
2020-04-23,Thu,23,2,4,Thu-4,2020-04-23
2020-04-24,Fri,24,3,4,Fri-4,2020-04-24
2020-04-25,Sat,25,4,4,Sat-4,2020-04-25
2020-04-26,Sun,26,5,4,Sun-4,2020-04-26
2020-04-27,Mon,27,6,4,Mon-4,2020-04-27
2020-04-28,Tue,28,7,4,Tue-4,2020-04-28
2020-04-29,Wed,29,1,5,Wed-5,2020-04-29
2020-04-30,Thu,30,2,5,Thu-5,2020-04-30
2020-05-01,Fri,1,1,1,Fri-1,2020-05-01
2020-05-02,Sat,2,2,1,Sat-1,2020-05-02
2020-05-03,Sun,3,3,1,Sun-1,2020-05-03
2020-05-04,Mon,4,4,1,Mon-1,2020-05-04
2020-05-05,Tue,5,5,1,Tue-1,2020-05-05
2020-05-06,Wed,6,6,1,Wed-1,2020-05-06
2020-05-07,Thu,7,7,1,Thu-1,2020-05-07
2020-05-08,Fri,8,1,2,Fri-2,2020-05-08
2020-05-09,Sat,9,2,2,Sat-2,2020-05-09
2020-05-10,Sun,10,3,2,Sun-2,2020-05-10
2020-05-11,Mon,11,4,2,Mon-2,2020-05-11
2020-05-12,Tue,12,5,2,Tue-2,2020-05-12
2020-05-13,Wed,13,6,2,Wed-2,2020-05-13
2020-05-14,Thu,14,7,2,Thu-2,2020-05-14
2020-05-15,Fri,15,1,3,Fri-3,2020-05-15
2020-05-16,Sat,16,2,3,Sat-3,2020-05-16
2020-05-17,Sun,17,3,3,Sun-3,2020-05-17
2020-05-18,Mon,18,4,3,Mon-3,2020-05-18
2020-05-19,Tue,19,5,3,Tue-3,2020-05-19
2020-05-20,Wed,20,6,3,Wed-3,2020-05-20
2020-05-21,Thu,21,7,3,Thu-3,2020-05-21
2020-05-22,Fri,22,1,4,Fri-4,2020-05-22
2020-05-23,Sat,23,2,4,Sat-4,2020-05-23
2020-05-24,Sun,24,3,4,Sun-4,2020-05-24
2020-05-25,Mon,25,4,4,Mon-4,2020-05-25
2020-05-26,Tue,26,5,4,Tue-4,2020-05-26
2020-05-27,Wed,27,6,4,Wed-4,2020-05-27
2020-05-28,Thu,28,7,4,Thu-4,2020-05-28
2020-05-29,Fri,29,1,5,Fri-5,2020-05-29
2020-05-30,Sat,30,2,5,Sat-5,2020-05-30
2020-05-31,Sun,31,3,5,Sun-5,2020-05-31
2020-06-01,Mon,1,1,1,Mon-1,2020-06-01
2020-06-02,Tue,2,2,1,Tue-1,2020-06-02
2020-06-03,Wed,3,3,1,Wed-1,2020-06-03
2020-06-04,Thu,4,4,1,Thu-1,2020-06-04
2020-06-05,Fri,5,5,1,Fri-1,2020-06-05
2020-06-06,Sat,6,6,1,Sat-1,2020-06-06
2020-06-07,Sun,7,7,1,Sun-1,2020-06-07
2020-06-08,Mon,8,1,2,Mon-2,2020-06-08
2020-06-09,Tue,9,2,2,Tue-2,2020-06-09
2020-06-10,Wed,10,3,2,Wed-2,2020-06-10
2020-06-11,Thu,11,4,2,Thu-2,2020-06-11
2020-06-12,Fri,12,5,2,Fri-2,2020-06-12
2020-06-13,Sat,13,6,2,Sat-2,2020-06-13
2020-06-14,Sun,14,7,2,Sun-2,2020-06-14
2020-06-15,Mon,15,1,3,Mon-3,2020-06-15
2020-06-16,Tue,16,2,3,Tue-3,2020-06-16
2020-06-17,Wed,17,3,3,Wed-3,2020-06-17
2020-06-18,Thu,18,4,3,Thu-3,2020-06-18
2020-06-19,Fri,19,5,3,Fri-3,2020-06-19
2020-06-20,Sat,20,6,3,Sat-3,2020-06-20
2020-06-21,Sun,21,7,3,Sun-3,2020-06-21
2020-06-22,Mon,22,1,4,Mon-4,2020-06-22
2020-06-23,Tue,23,2,4,Tue-4,2020-06-23
2020-06-24,Wed,24,3,4,Wed-4,2020-06-24
2020-06-25,Thu,25,4,4,Thu-4,2020-06-25
2020-06-26,Fri,26,5,4,Fri-4,2020-06-26
2020-06-27,Sat,27,6,4,Sat-4,2020-06-27
2020-06-28,Sun,28,7,4,Sun-4,2020-06-28
2020-06-29,Mon,29,1,5,Mon-5,2020-06-29
2020-06-30,Tue,30,2,5,Tue-5,2020-06-30
2020-07-01,Wed,1,1,1,Wed-1,2020-07-01
2020-07-02,Thu,2,2,1,Thu-1,2020-07-02
2020-07-03,Fri,3,3,1,Fri-1,2020-07-03
2020-07-04,Sat,4,4,1,Sat-1,2020-07-04
2020-07-05,Sun,5,5,1,Sun-1,2020-07-05
2020-07-06,Mon,6,6,1,Mon-1,2020-07-06
2020-07-07,Tue,7,7,1,Tue-1,2020-07-07
2020-07-08,Wed,8,1,2,Wed-2,2020-07-08
2020-07-09,Thu,9,2,2,Thu-2,2020-07-09
2020-07-10,Fri,10,3,2,Fri-2,2020-07-10
2020-07-11,Sat,11,4,2,Sat-2,2020-07-11
2020-07-12,Sun,12,5,2,Sun-2,2020-07-12
2020-07-13,Mon,13,6,2,Mon-2,2020-07-13
2020-07-14,Tue,14,7,2,Tue-2,2020-07-14
2020-07-15,Wed,15,1,3,Wed-3,2020-07-15
2020-07-16,Thu,16,2,3,Thu-3,2020-07-16
2020-07-17,Fri,17,3,3,Fri-3,2020-07-17
2020-07-18,Sat,18,4,3,Sat-3,2020-07-18
2020-07-19,Sun,19,5,3,Sun-3,2020-07-19
2020-07-20,Mon,20,6,3,Mon-3,2020-07-20
2020-07-21,Tue,21,7,3,Tue-3,2020-07-21
2020-07-22,Wed,22,1,4,Wed-4,2020-07-22
2020-07-23,Thu,23,2,4,Thu-4,2020-07-23
2020-07-24,Fri,24,3,4,Fri-4,2020-07-24
2020-07-25,Sat,25,4,4,Sat-4,2020-07-25
2020-07-26,Sun,26,5,4,Sun-4,2020-07-26
2020-07-27,Mon,27,6,4,Mon-4,2020-07-27
2020-07-28,Tue,28,7,4,Tue-4,2020-07-28
2020-07-29,Wed,29,1,5,Wed-5,2020-07-29
2020-07-30,Thu,30,2,5,Thu-5,2020-07-30
2020-07-31,Fri,31,3,5,Fri-5,2020-07-31
2020-08-01,Sat,1,1,1,Sat-1,2020-08-01
2020-08-02,Sun,2,2,1,Sun-1,2020-08-02
2020-08-03,Mon,3,3,1,Mon-1,2020-08-03
2020-08-04,Tue,4,4,1,Tue-1,2020-08-04
2020-08-05,Wed,5,5,1,Wed-1,2020-08-05
2020-08-06,Thu,6,6,1,Thu-1,2020-08-06
2020-08-07,Fri,7,7,1,Fri-1,2020-08-07
2020-08-08,Sat,8,1,2,Sat-2,2020-08-08
2020-08-09,Sun,9,2,2,Sun-2,2020-08-09
2020-08-10,Mon,10,3,2,Mon-2,2020-08-10
2020-08-11,Tue,11,4,2,Tue-2,2020-08-11
2020-08-12,Wed,12,5,2,Wed-2,2020-08-12
2020-08-13,Thu,13,6,2,Thu-2,2020-08-13
2020-08-14,Fri,14,7,2,Fri-2,2020-08-14
2020-08-15,Sat,15,1,3,Sat-3,2020-08-15
2020-08-16,Sun,16,2,3,Sun-3,2020-08-16
2020-08-17,Mon,17,3,3,Mon-3,2020-08-17
2020-08-18,Tue,18,4,3,Tue-3,2020-08-18
2020-08-19,Wed,19,5,3,Wed-3,2020-08-19
